ts_event,publisher_id,product_id,open,high,low,close,volume
1641228000000000000,2,7407,163560000000,163730000000,163560000000,163720000000,1058
1641228000000000000,2,2556,118750000000,118825000000,118750000000,118820000000,4904
1641228000000000000,2,11317,52700000000,52720000000,52700000000,52720000000,1494
1641228000000000000,2,10579,155040000000,155240000000,155040000000,155240000000,145
1641228000000000000,2,6978,176310000000,176370000000,176310000000,176370000000,174
1641228000000000000,2,5321,134920000000,134930000000,134890000000,134920000000,1509
1641228000000000000,2,2391,251760000000,251830000000,251750000000,251770000000,1032
1641228000000000000,2,4941,404390000000,404810000000,404390000000,404810000000,673
1641228000000000000,2,4755,393080000000,393420000000,392900000000,393420000000,1227
1641228000000000000,2,8216,160970000000,160970000000,160930000000,160970000000,3861
1641228000000000000,2,27,181240000000,181350000000,181170000000,181300000000,21506
1641228000000000000,2,7119,331540000000,331900000000,331510000000,331900000000,5932
1641228000000000000,2,6189,58705000000,58710000000,58690000000,58690000000,3216
1641228060000000000,2,2920,57090000000,57120000000,57090000000,57090000000,420
1641228060000000000,2,11291,52355000000,52365000000,52345000000,52365000000,2163
1641228060000000000,2,5993,161850000000,161960000000,161830000000,161940000000,4178
1641228060000000000,2,6189,58690000000,58720000000,58690000000,58720000000,1734
1641228060000000000,2,5099,206860000000,206890000000,206820000000,206875000000,138
1641228060000000000,2,5966,170140000000,170190000000,170130000000,170180000000,859
1641228060000000000,2,2391,251870000000,251920000000,251810000000,251830000000,1449
1641228060000000000,2,10579,155240000000,155240000000,155240000000,155240000000,56
1641228060000000000,2,1763,206345000000,206420000000,206345000000,206420000000,14
1641228060000000000,2,2556,118840000000,118920000000,118840000000,118880000000,3665
1641228060000000000,2,10930,220380000000,220560000000,220380000000,220540000000,1278
1641228060000000000,2,2807,155730000000,155910000000,155730000000,155910000000,3784
1641228060000000000,2,7119,331880000000,332220000000,331880000000,332120000000,16070
1641228060000000000,2,4755,393420000000,393670000000,393420000000,393550000000,337
1641228060000000000,2,4941,404760000000,405050000000,404660000000,405040000000,1812
1641228060000000000,2,5621,52460000000,52500000000,52460000000,52500000000,10919
1641228060000000000,2,7407,163750000000,163840000000,163750000000,163780000000,1617
1641228060000000000,2,1018,207710000000,207950000000,207680000000,207950000000,1643
1641228060000000000,2,27,181360000000,181500000000,181305000000,181460000000,24681
1641228060000000000,2,8216,160960000000,161010000000,160960000000,161010000000,1020
1641228060000000000,2,11438,143620000000,143640000000,143580000000,143640000000,2818
1641228060000000000,2,7085,76220000000,76280000000,76220000000,76260000000,1800
1641228060000000000,2,508,224310000000,224410000000,224260000000,224410000000,1864
1641228060000000000,2,5321,134870000000,134890000000,134850000000,134890000000,986
1641228060000000000,2,6741,265950000000,266070000000,265950000000,266070000000,361
1641228060000000000,2,6978,176450000000,176530000000,176390000000,176510000000,541
1641228060000000000,2,11317,52730000000,52760000000,52730000000,52755000000,2137
1641228060000000000,2,10806,494820000000,495140000000,494815000000,495010000000,457
1641228060000000000,2,986,166750000000,166960000000,166750000000,166960000000,628
1641228060000000000,2,2429,62595000000,62620000000,62595000000,62620000000,7395
1641228120000000000,2,5621,52490000000,52505000000,52490000000,52500000000,6568
1641228120000000000,2,2429,62625000000,62710000000,62620000000,62710000000,10748
1641228120000000000,2,10806,495000000000,495060000000,494830000000,494830000000,293
1641228120000000000,2,4755,393500000000,393810000000,393500000000,393695000000,1189
1641228120000000000,2,7407,163765000000,163790000000,163720000000,163720000000,1559
1641228120000000000,2,11291,52360000000,52370000000,52360000000,52370000000,1679
1641228120000000000,2,11317,52750000000,52765000000,52740000000,52760000000,3280
1641228120000000000,2,6978,176500000000,176510000000,176470000000,176470000000,321
1641228120000000000,2,5321,134900000000,134970000000,134880000000,134960000000,1190
1641228120000000000,2,7085,76240000000,76300000000,76240000000,76300000000,1218
1641228120000000000,2,5099,206830000000,206910000000,206820000000,206830000000,1335
1641228120000000000,2,7119,332110000000,332360000000,332110000000,332130000000,13758
1641228120000000000,2,1763,206460000000,206570000000,206400000000,206530000000,1146
1641228120000000000,2,2920,57080000000,57090000000,57070000000,57080000000,606
1641228120000000000,2,508,224250000000,224370000000,224230000000,224370000000,584
1641228120000000000,2,986,166920000000,167020000000,166910000000,167020000000,1077
1641228120000000000,2,5966,170150000000,170170000000,170150000000,170170000000,414
1641228120000000000,2,8216,161020000000,161050000000,160980000000,161030000000,1426
1641228120000000000,2,27,181450000000,181540000000,181430000000,181460000000,29004
1641228120000000000,2,1018,207890000000,208040000000,207890000000,208030000000,1477
1641228120000000000,2,6189,58710000000,58725000000,58710000000,58725000000,800
1641228120000000000,2,2807,155900000000,156000000000,155900000000,155970000000,3893
1641228120000000000,2,10930,220530000000,220650000000,220500000000,220650000000,2326
1641228120000000000,2,6741,266075000000,266075000000,266060000000,266060000000,188
1641228120000000000,2,2391,251760000000,251950000000,251750000000,251870000000,1196
1641228120000000000,2,11438,143650000000,143710000000,143650000000,143700000000,2592
1641228120000000000,2,4941,404820000000,404850000000,404680000000,404680000000,937
1641228120000000000,2,5993,161920000000,162020000000,161890000000,161990000000,4429
1641228120000000000,2,2556,118880000000,118885000000,118850000000,118850000000,2298
1641228120000000000,2,10579,155200000000,155200000000,155200000000,155200000000,10
1641228180000000000,2,10579,155270000000,155420000000,155270000000,155420000000,227
1641228180000000000,2,7407,163710000000,163710000000,163630000000,163660000000,814
1641228180000000000,2,5993,162000000000,162070000000,161980000000,162040000000,2002
1641228180000000000,2,1018,208030000000,208400000000,208030000000,208310000000,1819
1641228180000000000,2,5966,170170000000,170180000000,170110000000,170130000000,1491
1641228180000000000,2,10806,494895000000,494895000000,494545000000,494545000000,1375
1641228180000000000,2,2391,251940000000,251950000000,251790000000,251840000000,1851
1641228180000000000,2,508,224380000000,224380000000,224250000000,224290000000,762
1641228180000000000,2,5321,134980000000,135030000000,134980000000,135030000000,1369
1641228180000000000,2,1763,206540000000,206690000000,206530000000,206690000000,858
1641228180000000000,2,27,181470000000,181620000000,181430000000,181610000000,16468
1641228180000000000,2,8216,161030000000,161110000000,161020000000,161110000000,1590
1641228180000000000,2,4755,393700000000,394050000000,393670000000,394050000000,1129
1641228180000000000,2,4941,404630000000,405050000000,404630000000,405050000000,1556
1641228180000000000,2,2429,62710000000,62710000000,62685000000,62710000000,10542
1641228180000000000,2,6741,266100000000,266180000000,266070000000,266180000000,650
1641228180000000000,2,11317,52770000000,52800000000,52770000000,52785000000,5663
1641228180000000000,2,2920,57080000000,57170000000,57080000000,57170000000,1027
1641228180000000000,2,2556,118870000000,118975000000,118860000000,118970000000,4033
